scene_id,condition,strategy,run_number,model,raw_node_precision,raw_node_recall,raw_node_f1,raw_edge_precision,raw_edge_recall,raw_edge_f1,final_node_precision,final_node_recall,final_node_f1,final_edge_precision,final_edge_recall,final_edge_f1,gold_node_count,gold_edge_count,raw_node_count,raw_edge_count,final_node_count,final_edge_count,ontology_conformance,relation_hallucination_rate,subject_hallucinations,object_hallucinations,evidence_hallucinations,schema_invalid_relations,runtime_seconds,execution_error,llm_extracted_edges,fallback_edges
indego_user_16_414_2101_1_s2,raw,one_shot,1,llama3.1:8b,0.2273,0.1724,0.1961,0.0,0.0,0.0,0.2273,0.1724,0.1961,0.0,0.0,0.0,29,30,22,3,22,26,1.0,0.0,0,13,12,0,52.3225,,3,36
indego_user_16_414_2101_1_s2,raw,one_shot,2,llama3.1:8b,0.2273,0.1724,0.1961,0.0,0.0,0.0,0.2273,0.1724,0.1961,0.0,0.0,0.0,29,30,22,3,22,26,1.0,0.0,0,13,12,0,67.9916,,3,36
indego_user_14_1410_2110_2_s2,raw,one_shot,1,llama3.1:8b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,23,0,0,0,0,1.0,0.0,0,0,0,0,180.0235,SubprocessTimeoutError: Isolated experiment call exceeded 180.0 seconds.,0,0
indego_user_14_1410_2110_2_s2,raw,one_shot,2,llama3.1:8b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,23,0,0,0,0,1.0,0.0,0,0,0,0,181.1175,SubprocessTimeoutError: Isolated experiment call exceeded 180.0 seconds.,0,0
indego_user_14_user_17_411_2810_table_assembly_s1,raw,one_shot,1,llama3.1:8b,0.2857,0.25,0.2667,0.0,0.0,0.0,0.2857,0.25,0.2667,0.0,0.0,0.0,8,6,7,2,7,6,1.0,0.0,0,3,2,0,61.9264,,2,7
indego_user_14_user_17_411_2810_table_assembly_s1,raw,one_shot,2,llama3.1:8b,0.2857,0.25,0.2667,0.0,0.0,0.0,0.2857,0.25,0.2667,0.0,0.0,0.0,8,6,7,2,7,6,1.0,0.0,0,3,2,0,52.2896,,2,7
indego_user_15_user_17_410_2210_2_s1,raw,one_shot,1,llama3.1:8b,0.5,0.25,0.3333,0.0,0.0,0.0,0.5,0.25,0.3333,0.0,0.0,0.0,8,9,4,2,4,3,1.0,0.0,0,2,1,0,29.4813,,2,3
indego_user_15_user_17_410_2210_2_s1,raw,one_shot,2,llama3.1:8b,0.5,0.25,0.3333,0.0,0.0,0.0,0.5,0.25,0.3333,0.0,0.0,0.0,8,9,4,2,4,3,1.0,0.0,0,2,1,0,27.6783,,2,3
indego_user_16_410_2110_2_s2,raw,one_shot,1,llama3.1:8b,0.1852,0.1471,0.1639,0.0,0.0,0.0,0.1852,0.1471,0.1639,0.0,0.0,0.0,34,41,27,10,27,22,1.0,0.0,0,13,2,0,145.9217,,10,25
indego_user_16_410_2110_2_s2,raw,one_shot,2,llama3.1:8b,0.1852,0.1471,0.1639,0.0,0.0,0.0,0.1852,0.1471,0.1639,0.0,0.0,0.0,34,41,27,10,27,22,1.0,0.0,0,13,2,0,142.3441,,10,25
indego_user_14_user_2_407_2210_1_s1,raw,one_shot,1,llama3.1:8b,0.125,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.0,8,8,8,3,8,8,1.0,0.0,0,3,2,0,55.9675,,3,8
indego_user_14_user_2_407_2210_1_s1,raw,one_shot,2,llama3.1:8b,0.125,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.0,8,8,8,3,8,8,1.0,0.0,0,3,2,0,55.194,,3,8
indego_user_16_414_2101_1_s1,raw,one_shot,1,llama3.1:8b,0.5,0.7,0.5833,0.0,0.0,0.0,0.5,0.7,0.5833,0.1765,0.3333,0.2308,10,9,14,4,14,17,1.0,0.0,0,8,7,0,60.2803,,4,21
indego_user_16_414_2101_1_s1,raw,one_shot,2,llama3.1:8b,0.5,0.7,0.5833,0.0,0.0,0.0,0.5,0.7,0.5833,0.1765,0.3333,0.2308,10,9,14,4,14,17,1.0,0.0,0,8,7,0,59.0085,,4,21
indego_user_15_451_2401_1_s4,raw,one_shot,1,llama3.1:8b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,51,0,0,0,0,1.0,0.0,0,0,0,0,181.1244,SubprocessTimeoutError: Isolated experiment call exceeded 180.0 seconds.,0,0
indego_user_15_451_2401_1_s4,raw,one_shot,2,llama3.1:8b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,51,0,0,0,0,1.0,0.0,0,0,0,0,181.0995,SubprocessTimeoutError: Isolated experiment call exceeded 180.0 seconds.,0,0
indego_user_15_414_0702_1_s1,raw,one_shot,1,llama3.1:8b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,32,0,0,0,0,1.0,0.0,0,0,0,0,181.1045,SubprocessTimeoutError: Isolated experiment call exceeded 180.0 seconds.,0,0
indego_user_15_414_0702_1_s1,raw,one_shot,2,llama3.1:8b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,32,0,0,0,0,1.0,0.0,0,0,0,0,181.1103,SubprocessTimeoutError: Isolated experiment call exceeded 180.0 seconds.,0,0
indego_user_14_414_2609_1_s1,raw,one_shot,1,llama3.1:8b,0.125,0.069,0.0889,0.0,0.0,0.0,0.125,0.069,0.0889,0.0,0.0,0.0,29,38,16,5,16,21,1.0,0.0,0,9,8,0,116.8284,,5,25
indego_user_14_414_2609_1_s1,raw,one_shot,2,llama3.1:8b,0.125,0.069,0.0889,0.0,0.0,0.0,0.125,0.069,0.0889,0.0,0.0,0.0,29,38,16,5,16,21,1.0,0.0,0,9,8,0,112.0384,,5,25
indego_user_15_user_1_0111_1_s1,raw,one_shot,1,llama3.1:8b,0.1333,0.069,0.0909,0.0,0.0,0.0,0.1333,0.069,0.0909,0.0,0.0,0.0,29,41,15,1,15,14,1.0,0.0,0,8,7,0,110.1019,,1,21
indego_user_15_user_1_0111_1_s1,raw,one_shot,2,llama3.1:8b,0.1333,0.069,0.0909,0.0,0.0,0.0,0.1333,0.069,0.0909,0.0,0.0,0.0,29,41,15,1,15,14,1.0,0.0,0,8,7,0,107.2243,,1,21
indego_user_16_user_2_0111_1_s1,raw,one_shot,1,llama3.1:8b,0.12,0.1071,0.1132,0.0,0.0,0.0,0.12,0.1071,0.1132,0.0,0.0,0.0,28,36,25,3,25,32,1.0,0.0,0,17,16,0,136.8002,,3,46
indego_user_16_user_2_0111_1_s1,raw,one_shot,2,llama3.1:8b,0.12,0.1071,0.1132,0.0,0.0,0.0,0.12,0.1071,0.1132,0.0,0.0,0.0,28,36,25,3,25,32,1.0,0.0,0,17,16,0,134.903,,3,46
indego_7020e12d-d5a2-4f01-beab-94f38d887eca_s2,raw,one_shot,1,llama3.1:8b,0.25,0.6667,0.3636,0.0,0.0,0.0,0.25,0.6667,0.3636,0.25,0.5,0.3333,3,2,8,2,8,4,1.0,0.0,0,0,1,0,77.4931,,2,4
indego_7020e12d-d5a2-4f01-beab-94f38d887eca_s2,raw,one_shot,2,llama3.1:8b,0.25,0.6667,0.3636,0.0,0.0,0.0,0.25,0.6667,0.3636,0.25,0.5,0.3333,3,2,8,2,8,4,1.0,0.0,0,0,1,0,65.7382,,2,4
indego_user_15_411_2309_2_1_s1,raw,one_shot,1,llama3.1:8b,0.1818,0.125,0.1481,0.0,0.0,0.0,0.1818,0.125,0.1481,0.0,0.0,0.0,16,24,11,3,11,10,1.0,0.0,0,4,3,0,90.1072,,3,11
indego_user_15_411_2309_2_1_s1,raw,one_shot,2,llama3.1:8b,0.1818,0.125,0.1481,0.0,0.0,0.0,0.1818,0.125,0.1481,0.0,0.0,0.0,16,24,11,3,11,10,1.0,0.0,0,4,3,0,72.9212,,3,11
indego_user_14_user_1_1410_2_s1,raw,one_shot,1,llama3.1:8b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,25,22,1,22,20,1.0,0.0,0,16,15,0,135.1716,,1,35
indego_user_14_user_1_1410_2_s1,raw,one_shot,2,llama3.1:8b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,25,22,1,22,20,1.0,0.0,0,16,15,0,118.8725,,1,35
