scene_id,raw_characters,auto_unified_characters,reviewed_unified_characters,auto_original_entry_count,auto_supported_entry_count,auto_outside_excerpt_count,auto_evidence_support_rate,reviewed_entry_count,reviewed_evidence_support_rate,auto_action_count,auto_tool_object_count,reviewed_action_count,reviewed_tool_object_count,raw_source_exactly_matches_auto_source
indego_user_16_414_2101_1_s2,1013,1329,2932,14,0,14,1.0,29,1.0,0,0,14,15,False
indego_user_14_1410_2110_2_s2,984,1298,2696,13,0,13,1.0,23,1.0,0,0,11,10,False
indego_user_14_user_17_411_2810_table_assembly_s1,379,713,1249,14,0,14,1.0,9,1.0,0,0,3,5,False
indego_user_15_user_17_410_2210_2_s1,397,718,1154,14,0,14,1.0,8,1.0,0,0,3,5,False
indego_user_16_410_2110_2_s2,893,1206,3292,13,0,13,1.0,37,1.0,0,0,17,17,False
indego_user_14_user_2_407_2210_1_s1,426,749,1275,14,0,14,1.0,8,1.0,0,0,3,5,False
indego_user_16_414_2101_1_s1,342,658,1192,13,0,13,1.0,11,1.0,0,0,5,5,False
indego_user_15_451_2401_1_s4,902,1224,4421,11,0,11,1.0,51,1.0,0,0,24,20,False
indego_user_15_414_0702_1_s1,565,881,2309,11,0,11,1.0,24,1.0,0,0,14,10,False
indego_user_14_414_2609_1_s1,682,1004,3910,10,0,10,1.0,33,1.0,0,0,18,11,False
indego_user_15_user_1_0111_1_s1,659,989,4255,11,0,11,1.0,37,1.0,0,0,17,12,False
indego_user_16_user_2_0111_1_s1,598,928,3687,11,0,11,1.0,35,1.0,0,0,16,12,False
indego_7020e12d-d5a2-4f01-beab-94f38d887eca_s2,3681,4140,4233,2,2,0,1.0,3,1.0,2,0,2,1,False
indego_user_15_411_2309_2_1_s1,4705,5503,6103,7,7,0,1.0,17,1.0,4,2,8,8,False
indego_user_14_user_1_1410_2_s1,5046,5845,6644,8,8,0,1.0,23,1.0,5,1,12,10,False
indego_user_14_user_15_2410_1_s1,3808,4742,5128,9,9,0,1.0,18,1.0,7,0,9,9,False
indego_232cf338-98a7-4cdc-8683-417c0e2adf7a_s1,2084,2881,3402,6,6,0,1.0,19,1.0,4,2,10,9,False
indego_user_15_411_2309_2_s1,3322,4123,4583,7,7,0,1.0,19,1.0,4,2,9,10,False
indego_user_15_412_2509_1_s1,6619,7335,8720,6,6,0,1.0,33,1.0,4,1,15,17,False
indego_user_14_user_16_407_1712_1_s1,1855,2865,2722,11,11,0,1.0,13,1.0,7,2,7,6,False
indego_user_14_407_0110_1_s1,3895,4731,5895,9,9,0,1.0,31,1.0,8,0,18,11,False
indego_user_15_412_0110_1_s1,8139,8790,11085,6,6,0,1.0,43,1.0,5,0,25,16,False
indego_user_14_user_15_411_1010_1_s1,4103,4646,5781,5,5,0,1.0,26,1.0,3,0,14,11,False
indego_user_2_407_2910_1_s1,4916,5371,6730,3,3,0,1.0,30,1.0,2,0,15,15,False
indego_user_14_412_02024_1_s1,1645,2259,2901,5,5,0,1.0,21,1.0,4,0,12,9,False
indego_user_14_412_02024_2_s1,1758,2350,2836,5,5,0,1.0,17,1.0,4,0,11,6,False
indego_user_17_user_15_451_0402_1_s3,2214,3125,3162,10,10,0,1.0,11,1.0,8,0,8,3,False
indego_user_14_411_2409_1_s1,3275,3808,5258,4,4,0,1.0,35,1.0,3,0,18,16,False
indego_user_14_414_1712_woodworking_2_s1,2907,3537,4430,5,5,0,1.0,24,1.0,4,0,13,9,False
indego_user_15_414_0702_1_s11,5369,6245,6321,9,9,0,1.0,14,1.0,8,0,8,6,False
indego_warning_A_Task_08_s1,864,1676,2438,17,8,9,1.0,19,1.0,4,1,4,4,False
indego_warning_A_Task_19_s1,985,1805,2699,19,9,10,1.0,20,1.0,6,1,6,2,False
