condition,strategy,stage,relation_type,true_positives,false_positives,false_negatives,precision,recall,f1
auto_unified,layered,final,ACTS_ON,22,240,784,0.083969,0.027295,0.041198
auto_unified,layered,final,BEFORE,20,215,638,0.085106,0.030395,0.044793
auto_unified,layered,final,USES_TOOL,2,163,186,0.012121,0.010638,0.011331
auto_unified,layered,raw,ACTS_ON,20,192,786,0.09434,0.024814,0.039293
auto_unified,layered,raw,BEFORE,0,28,658,0.0,0.0,0.0
auto_unified,layered,raw,USES_TOOL,0,99,188,0.0,0.0,0.0
raw,layered,final,ACTS_ON,52,424,754,0.109244,0.064516,0.081123
raw,layered,final,BEFORE,24,279,634,0.079208,0.036474,0.049948
raw,layered,final,USES_TOOL,2,142,186,0.013889,0.010638,0.012048
raw,layered,raw,ACTS_ON,48,325,758,0.128686,0.059553,0.081425
raw,layered,raw,BEFORE,2,66,656,0.029412,0.00304,0.00551
raw,layered,raw,USES_TOOL,0,105,188,0.0,0.0,0.0
raw,one_shot,final,ACTS_ON,36,214,770,0.144,0.044665,0.068182
raw,one_shot,final,BEFORE,26,326,632,0.073864,0.039514,0.051486
raw,one_shot,final,USES_TOOL,2,273,186,0.007273,0.010638,0.008639
raw,one_shot,raw,ACTS_ON,10,94,796,0.096154,0.012407,0.021978
raw,one_shot,raw,BEFORE,0,6,658,0.0,0.0,0.0
raw,one_shot,raw,USES_TOOL,0,94,188,0.0,0.0,0.0
reviewed_unified,layered,final,ACTS_ON,420,124,386,0.772059,0.521092,0.622222
reviewed_unified,layered,final,BEFORE,346,48,312,0.878173,0.525836,0.657795
reviewed_unified,layered,final,USES_TOOL,42,68,146,0.381818,0.223404,0.281879
reviewed_unified,layered,raw,ACTS_ON,354,56,452,0.863415,0.439206,0.582237
reviewed_unified,layered,raw,BEFORE,15,16,643,0.483871,0.022796,0.043541
reviewed_unified,layered,raw,USES_TOOL,40,52,148,0.434783,0.212766,0.285714
